candidate_id,rank,score,reasoning
CAND_0046064,1,98,"Direct ownership of hybrid search, ranking, and evaluation systems with proven NDCG improvements and production deployment at scale."
CAND_0005260,2,97,"Owned production RAG systems, hybrid retrieval, and rigorous eval frameworks at scale. Strong Python, embeddings, and ranking metrics."
CAND_0008425,3,97,"Owned hybrid search systems, improved NDCG@10, deployed fine-tuned LLMs, and built evaluation pipelines. Strong production Python and retrieval expertise."
CAND_0018549,4,97,"Led embedding-based retrieval migration, improved revenue-per-search by 12%, strong A/B testing and NDCG/MRR experience."
CAND_0041568,5,97,"Owned production search ranking systems, used embeddings, NDCG/MRR, A/B testing, and Python coding in fast-paced product environments."
CAND_0081686,6,97,"Owned production search and recommendation systems with embeddings, NDCG/MRR, and A/B testing. Strong Python coding and evaluation rigor."
CAND_0081846,7,97,"Direct ownership of hybrid search, ranking, and evaluation systems with proven NDCG improvements and production scale."
CAND_0092278,8,97,"Owned production hybrid search, RAG, and ranking systems with rigorous NDCG/MRR evaluation. Strong Python and startup shipping mindset."
CAND_0002025,9,96,"Owned hybrid retrieval systems, fine-tuned LLMs, and demonstrated rigorous evaluation with NDCG/MRR."
CAND_0007411,10,96,"Owned end-to-end ranking pipeline with hybrid retrieval, learning-to-rank, and rigorous offline-online evaluation at scale."
CAND_0011687,11,96,"Owned end-to-end ranking pipeline with BGE-large, Pinecone, XGBoost, and rigorous A/B-calibrated evaluation. Strong production Python and hybrid search expertise."
CAND_0022812,12,96,"Strong production experience in search, ranking, and retrieval with proven impact on metrics like NDCG and revenue-per-search."
CAND_0028793,13,96,"Owned production search and ranking systems with embedding-based retrieval, rigorous evaluation, and clear business impact."
CAND_0031593,14,96,"Owned production search and recommendation systems with embedding-based retrieval, A/B testing, and measurable business impact."
CAND_0033861,15,96,"Owned hybrid search, ranking, and RAG systems with proven NDCG improvements, production Python, and strong evaluation rigor."
CAND_0041610,16,96,"Owned production search ranking, migrated to embedding-based retrieval, strong evaluation rigor, and Python engineering skills."
CAND_0041669,17,96,"Owned production ranking, RAG, and recommendation systems with proven NDCG/MRR impact and strong Python engineering in product-first environments."
CAND_0053695,18,96,"Strong production experience with semantic search, ranking models, and evaluation rigor. Demonstrated ownership of retrieval and recommendation systems."
CAND_0068811,19,96,"Led embedding-based retrieval migration, built hybrid recommendation systems, and demonstrated rigorous A/B testing and NDCG improvements."
CAND_0071974,20,96,"Owned production ranking pipelines with BGE, Pinecone, XGBoost, and rigorous A/B testing. Strong hybrid search and evaluation expertise."
CAND_0077337,21,96,"Owned hybrid retrieval systems, improved NDCG@10 by 18%, strong production Python and evaluation rigor, marketplace experience."
CAND_0079387,22,96,"Owned production search and recommendation systems with embedding-based retrieval, A/B testing, and measurable impact on user engagement."
CAND_0080766,23,96,"Owned hybrid search, ranking systems, and evaluation frameworks with strong NDCG/MRR improvements and production-grade Python coding."
CAND_0086151,24,96,"Owned production search and recommendation systems with embedding-based retrieval, A/B testing, and measurable business impact."
CAND_0088025,25,96,"Owned hybrid retrieval, fine-tuned BGE, XGBoost re-ranking, and built A/B testing infrastructure. Strong production Python and evaluation rigor."
CAND_0010257,26,95,"Strong production experience in search, ranking, and recommendation systems with proven A/B testing and evaluation rigor. Python skills evident."
CAND_0012957,27,95,"Led embedding-based search migration, improved revenue by 12%, strong A/B testing and ranking metrics expertise."
CAND_0030953,28,95,"Led embedding-based search migration, owned ranking models, strong A/B testing and evaluation rigor, production Python skills."
CAND_0044855,29,95,"Strong production experience in retrieval, ranking, and recommendation systems with proven impact metrics and A/B testing."
CAND_0051630,30,95,"Owned production search ranking and semantic search systems, improved metrics with embeddings and rigorous evaluation."
CAND_0053591,31,95,"Built semantic search with FAISS, owned ranking models, A/B testing, and RAG chatbot with Pinecone. Strong production Python and evaluation rigor."
CAND_0054123,32,95,"Built production search and recommendation systems with embeddings, A/B testing, and measurable impact. Strong Python and evaluation rigor."
CAND_0058575,33,95,"Owned production semantic search and RAG systems, improved NDCG via A/B tests, strong Python and vector DB skills, startup-ready."
CAND_0064326,34,95,"Owned production search ranking, implemented RAG, strong Python skills, and rigorous evaluation metrics (NDCG, A/B tests)."
CAND_0068351,35,95,"Owned end-to-end search systems, strong production Python, rigorous evaluation, and startup mindset. Direct NDCG/MRR impact."
CAND_0075249,36,95,"Led embedding-based search migration, improved relevance by 35%, built recommendation system with 6% retention lift, strong production Python skills."
CAND_0079284,37,95,"Led embedding-based retrieval migration, owned ranking models with XGBoost, strong A/B testing and evaluation rigor at Google."
CAND_0005649,38,94,"Built semantic search with sentence-transformers and FAISS, improved relevance by 35%. Strong production Python, A/B testing, and retrieval experience."
CAND_0009024,39,94,"Led embedding-based search migration at Google, improved retention via A/B testing, strong production Python and evaluation rigor."
CAND_0018499,40,94,"Owned hybrid retrieval system, deployed LLM re-ranking, designed evaluation framework, strong Python coding, and marketplace matching experience."
CAND_0055905,41,94,"Owned hybrid search systems, fine-tuned LLMs, and rigorous evaluation frameworks. Strong production Python skills and shipper mindset."
CAND_0062247,42,94,"Owned production search systems, improved relevance with embeddings, strong Python skills, and rigorous evaluation metrics."
CAND_0066999,43,94,"Owned ranking layer for e-commerce search, improved revenue by 12%, built RAG feature, strong Python and evaluation rigor."
CAND_0075574,44,94,"Owned production ranking systems, implemented RAG, managed vector databases, and demonstrated rigorous evaluation metrics."
CAND_0078492,45,94,"Owned production ranking systems, built semantic search with FAISS, improved revenue-per-search by 12%, strong Python and evaluation rigor."
CAND_0083307,46,94,"Strong production experience with RAG, vector databases, and ranking systems. Demonstrated impact via A/B testing and relevance metrics."
CAND_0011162,47,93,"Strong production ML experience with ranking, retrieval, and recommendation systems. Demonstrated NDCG/MRR/A-B testing but lacks vector database specifics."
CAND_0017960,48,93,"Strong production ML experience with retrieval/search systems, embeddings, and A/B testing. Partial exposure to ranking metrics and vector databases."
CAND_0040887,49,93,"Strong retrieval/search experience with embeddings, FAISS, and Pinecone. Demonstrated NDCG/MRR improvements and production ML ownership."
CAND_0050454,50,93,"Strong production ML experience with retrieval, ranking, and evaluation rigor. Partial exposure to hybrid search and vector databases."
CAND_0050876,51,93,"Strong production experience with search, ranking, and recommendation systems, including embedding-based retrieval and A/B testing. Needs more direct hybrid search exposure."
CAND_0051292,52,93,"Strong production ML experience with retrieval, ranking, and embeddings. Demonstrated NDCG/MRR improvements and A/B testing."
CAND_0076163,53,93,"Strong production search ranking experience with NDCG/MRR and A/B testing, but lacks explicit vector database ownership."
CAND_0086022,54,93,"Owned production hybrid search systems, improved engagement metrics, strong Python coding, rigorous evaluation, and startup shipper mindset."
CAND_0000031,55,92,"Strong production ML experience with retrieval, ranking, and evaluation. Needs more direct evidence of vector databases/hybrid search."
CAND_0006557,56,92,"Strong production experience in ranking and recommendation systems with clear impact metrics (NDCG, A/B tests). Needs more direct hybrid search exposure."
CAND_0007009,57,92,"Strong production ML experience with retrieval systems, embeddings, and evaluation rigor. Partial exposure to ranking and hybrid search."
CAND_0007412,58,92,"Strong production ML experience with retrieval, ranking, and embeddings. Demonstrated A/B testing and Python coding. Partial exposure to hybrid search."
CAND_0016163,59,92,"Strong retrieval experience with embeddings and FAISS, improved search relevance, but lacks hybrid search and ranking system ownership."
CAND_0024466,60,92,"Strong production search and ranking experience with embedding-based retrieval and A/B testing, but lacks startup shipper mindset evidence."
CAND_0045250,61,92,"Strong production ML experience with retrieval migration, ranking models, and A/B testing. Partial exposure to vector databases and hybrid search."
CAND_0047721,62,92,Strong production experience in recommendation and ranking systems with proven A/B testing results. Needs more direct vector database/hybrid search evidence.
CAND_0049896,63,92,"Strong production retrieval and recommendation experience with Pinecone, evaluation frameworks, and A/B testing. Needs more direct hybrid search ownership."
CAND_0058688,64,92,"Strong recommendation systems experience with embeddings and A/B testing, but lacks direct hybrid search or vector database ownership."
CAND_0061265,65,92,"Strong production experience with embedding-based retrieval, ranking systems, and evaluation metrics. Demonstrated impact on search relevance and revenue."
CAND_0069905,66,92,"Strong production ML experience with retrieval systems, embeddings, and evaluation metrics. Needs more direct ranking system ownership."
CAND_0070202,67,92,"Strong production experience with embedding-based retrieval, ranking systems, and A/B testing. Needs more direct hybrid search exposure."
CAND_0096172,68,92,"Strong production retrieval and recommendation experience with embeddings and A/B testing, but lacks direct hybrid search or marketplace matching evidence."
CAND_0099401,69,92,"Strong production ML experience with search, ranking, and recommendation systems. Demonstrated A/B testing and evaluation rigor. Needs more direct vector DB experience."
CAND_0003977,70,91,"Strong retrieval experience with embeddings and FAISS, improved search relevance, but lacks startup shipper mindset evidence."
CAND_0006418,71,91,"Strong production ML experience with ranking models and evaluation rigor, but lacks direct hybrid search/vector DB ownership."
CAND_0007460,72,91,"Strong production ML experience with ranking systems and A/B testing, but lacks explicit vector database or hybrid search exposure."
CAND_0008239,73,91,"Strong production ranking experience at Apple, improved revenue-per-search by 12%. Needs more vector DB/hybrid search evidence."
CAND_0009691,74,91,"Strong production ML experience with embeddings, FAISS, and A/B testing. Needs more direct hybrid search/ranking system ownership."
CAND_0014440,75,91,"Strong production ML experience with search and ranking systems, but lacks direct evidence of hybrid search or vector database management."
CAND_0024620,76,91,"Strong production ML experience with search ranking, embeddings, and evaluation rigor. Lacks startup-specific evidence but meets core technical criteria."
CAND_0026532,77,91,"Strong production experience with embeddings, FAISS, and A/B testing. Owned search and recommendation systems but lacks hybrid search exposure."
CAND_0027801,78,91,"Strong production ML experience with retrieval systems, A/B testing, and vector databases. Needs more direct ranking system ownership."
CAND_0030827,79,91,"Strong production experience with embedding-based retrieval and ranking systems, but lacks recent startup/shipper mindset evidence."
CAND_0032515,80,91,"Strong production ML experience with search ranking, evaluation rigor, and Python skills. Lacks direct vector DB experience but shows relevant potential."
CAND_0036184,81,91,"Strong production retrieval experience with embeddings and FAISS, improved search relevance by 35%, but lacks hybrid search and A/B testing evidence."
CAND_0036437,82,91,"Strong production search and ranking experience with measurable impact, but lacks recent vector DB or hybrid search exposure."
CAND_0037566,83,91,"Strong production ML experience with RAG, Pinecone, and evaluation frameworks. Lacks direct hybrid search/ranking system ownership."
CAND_0037944,84,91,"Strong production ML experience with ranking, retrieval, and evaluation. Lacks direct hybrid search ownership but shows relevant skills."
CAND_0040117,85,91,"Strong production ML experience with recommendation systems, embeddings, and A/B testing. Lacks direct hybrid search ownership but shows relevant skills."
CAND_0042100,86,91,"Strong production ML experience with ranking systems, embeddings, and evaluation metrics. Lacks direct hybrid search ownership."
CAND_0044883,87,91,"Strong production experience with retrieval, ranking, and evaluation. Needs more direct hybrid search and startup-scale evidence."
CAND_0052328,88,91,"Strong production ML experience with recommendation systems, Pinecone, and evaluation metrics. Lacks direct hybrid search ownership."
CAND_0052682,89,91,"Built recommendation and RAG systems with embeddings, A/B testing, and evaluation rigor. Strong Python skills but lacks hybrid search experience."
CAND_0060054,90,91,"Strong production experience with retrieval, ranking, and evaluation. Lacks direct hybrid search or A/B testing evidence."
CAND_0061655,91,91,"Strong production ML experience with search, ranking, and recommendation systems. Demonstrated A/B testing and evaluation rigor. Needs more hybrid search exposure."
CAND_0065195,92,91,"Strong production search experience with embeddings and evaluation, but lacks direct ranking system ownership."
CAND_0076831,93,91,"Strong production search experience with embeddings and evaluation, but lacks direct hybrid search or vector DB ownership."
CAND_0081053,94,91,"Built semantic search with embeddings and FAISS, strong recommendation system experience, but lacks hybrid search and rigorous evaluation evidence."
CAND_0089552,95,91,"Strong production ML experience with search and recommendation systems, but lacks direct evidence of hybrid search or rigorous ranking evaluation."
CAND_0091909,96,91,"Strong production ML experience with recommendation systems, embeddings, and A/B testing. Lacks direct hybrid search ownership but shows relevant skills."
CAND_0093193,97,91,"Strong production ML experience with retrieval systems and evaluation metrics, but lacks explicit vector database or hybrid search evidence."
CAND_0093912,98,91,"Strong production ML experience with ranking, retrieval, and evaluation rigor. Owned e-commerce search ranking and semantic search systems."
CAND_0020708,99,90,"Strong production search experience with embeddings and FAISS, improved relevance by 35%. Needs more A/B testing and hybrid search exposure."
CAND_0020877,100,90,"Strong production experience with RAG, semantic search, and evaluation frameworks. Lacks direct marketplace matching but shows retrieval rigor."
